ecosystem,package,version,version_source,n_deposits
cran,RcppEigen,0.3.3.7.0,description,1
cran,RcppEigen,0.3.3.9.2,description,1
cran,RcppGSL,0.3.13,renv_lock,1
cran,RcppGSL,0.3.13,description,1
cran,RcppGSLExample,0.0.3,description,1
cran,RcppParallel,5.1.7,renv_lock,8
cran,RcppParallel,5.1.10,renv_lock,7
cran,RcppParallel,5.1.11-1,renv_lock,4
cran,RcppParallel,5.1.9,renv_lock,3
cran,RcppParallel,5.1.4,renv_lock,3
cran,RcppParallel,5.1.5,renv_lock,2
cran,RcppParallel,5.1.7,description,2
cran,RcppParallel,5.1.10,description,1
cran,RcppProgress,0.4.2,renv_lock,9
cran,RcppProgress,0.4.2,description,1
cran,RcppProgressArmadillo,0.2,description,1
cran,RcppProgressETA,0.1,description,1
cran,RcppProgressExample,0.2,description,1
cran,RcppRoll,0.3.1,renv_lock,1
cran,RcppTOML,0.2.3,renv_lock,2
cran,RcppTOML,0.2.2,renv_lock,1
cran,RcppThread,2.2.0,renv_lock,2
cran,RcppThread,2.1.5,renv_lock,1
cran,RcppThread,1.0.0,renv_lock,1
cran,RcppZiggurat,0.1.6,description,1
cran,Rdpack,2.6.4,renv_lock,15
cran,Rdpack,2.6.6,renv_lock,9
cran,Rdpack,2.6.2,renv_lock,5
cran,Rdpack,2.5,renv_lock,3
cran,Rdpack,2.4,renv_lock,3
cran,Rdpack,2.6.1,renv_lock,2
cran,Rdpack,2.6,renv_lock,2
cran,Rdpack,2.4,description,2
cran,Rdpack,2.5,description,2
cran,Rdpack,2.6.2,description,1
cran,Rdpack,2.6.4,description,1
cran,Rdpack,2.3,description,1
cran,Rdpack,2.1.3,description,1
cran,Rdpack,2.1.3,renv_lock,1
cran,Rdpack,2.6.3,renv_lock,1
cran,Rdpack,2.6.5,renv_lock,1
cran,RdpackTester,1.0,description,7
cran,ReadMe,0.99837,description,1
cran,RefManageR,1.4.0,renv_lock,2
cran,Renext,3.1-5,renv_lock,1
cran,Rfast,2.0.8,description,1
cran,Rforestry,0.9.0.40,renv_lock,1
cran,Rglpk,0.6-5.1,description,2
cran,Rglpk,0.6-5.1,renv_lock,1
cran,Rhdf5lib,1.32.0,renv_lock,1
cran,RhpcBLASctl,0.23-42,renv_lock,3
cran,RhpcBLASctl,0.21-247.1,renv_lock,1
cran,RhpcBLASctl,0.23-42,description,1
cran,Rmisc,1.5.1,renv_lock,3
cran,Rmisc,1.5.1,description,2
cran,Rmpfr,1.1-2,renv_lock,2
cran,Rmpfr,0.9-4,description,1
cran,Rmpfr,1.0-0,description,1
cran,Rmpfr,0.8-9,install,1
cran,Rmpfr,0.8-4,renv_lock,1
