collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/29190,doi,10.7910,DVN/29190,2015-02-25
restat,dataverse,,https://doi.org/10.7910/DVN/27037,doi,10.7910,DVN/27037,2015-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/I3VVHM,doi,10.7910,DVN/I3VVHM,2012-08-06
restat,dataverse,,https://doi.org/10.7910/DVN/22932,doi,10.7910,DVN/22932,2013-10-28
restat,dataverse,,https://doi.org/10.7910/DVN/28764,doi,10.7910,DVN/28764,2015-03-25
restat,dataverse,,https://doi.org/10.7910/DVN/VIVQYS,doi,10.7910,DVN/VIVQYS,2012-02-01
restat,dataverse,,https://doi.org/10.7910/DVN/27893,doi,10.7910,DVN/27893,2014-12-08
restat,dataverse,,https://doi.org/10.7910/DVN/GIFITM,doi,10.7910,DVN/GIFITM,2013-05-17
restat,dataverse,,https://doi.org/10.7910/DVN/IYAMP5,doi,10.7910,DVN/IYAMP5,2012-04-17
restat,dataverse,,https://doi.org/10.7910/DVN/WEARVD,doi,10.7910,DVN/WEARVD,2012-10-02
restat,dataverse,,https://doi.org/10.7910/DVN/27186,doi,10.7910,DVN/27186,2014-09-12
restat,dataverse,,https://doi.org/10.7910/DVN/L4DUZ7,doi,10.7910,DVN/L4DUZ7,2011-09-30
restat,dataverse,,https://doi.org/10.7910/DVN/VYA6CX,doi,10.7910,DVN/VYA6CX,2010-11-23
restat,dataverse,,https://doi.org/10.7910/DVN/SFKPQK,doi,10.7910,DVN/SFKPQK,2012-01-17
restat,dataverse,,https://doi.org/10.7910/DVN/27189,doi,10.7910,DVN/27189,2015-01-08
restat,dataverse,,https://doi.org/10.7910/DVN/CMRTZU,doi,10.7910,DVN/CMRTZU,2024-05-15
restat,dataverse,,https://doi.org/10.7910/DVN/ZXWXYX,doi,10.7910,DVN/ZXWXYX,2024-06-03
restat,dataverse,,https://doi.org/10.7910/DVN/LBJ0BH,doi,10.7910,DVN/LBJ0BH,2024-05-31
restat,dataverse,,https://doi.org/10.7910/DVN/JXUMLQ,doi,10.7910,DVN/JXUMLQ,2024-06-13
restat,dataverse,,https://doi.org/10.7910/DVN/XS029A,doi,10.7910,DVN/XS029A,2016-06-22
restat,dataverse,,https://doi.org/10.7910/DVN/FDEHZY,doi,10.7910,DVN/FDEHZY,2016-07-28
